[2026-04-12T10:36:56-04:00] Clear uploads executed | {"deleted_images":1,"deleted_audio":0,"deleted_logs":1,"errors":[]}
[2026-04-12T13:18:21-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014300597"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:18:49-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014328881"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:18:49-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014328882"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:42-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:43-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:44-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:45-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:46-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:48-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:24:59-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:25:35-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014734812"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:25:35-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014734813"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:25:50-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014749522"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:25:50-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014749521"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:25:53-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014752753"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:25:53-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014752753"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:27:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014852958"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:27:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014852959"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:27:37-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014857251"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:27:38-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776014857251"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:32:59-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776015178297"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:32:59-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776015178297"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:39:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776015572287"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:39:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776015572287"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:45:32-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776015932188"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:45:32-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776015932189"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:45:55-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:00-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:01-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776015960842"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:01-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776015960843"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:17-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:26-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:27-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:29-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:46:29-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
